mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G03940	0	3	6	7	3	6
AT1G03950	39	34	67	45	32	71
AT1G03960	26	15	37	15	16	31
AT1G03970	38	27	51	28	25	59
AT1G03980	4	6	8	5	3	1
AT1G03990	5	0	7	5	7	8
AT1G04000	34	48	62	50	21	75
AT1G04010	21	16	26	16	14	37
AT1G04020	0	4	1	0	0	2
AT1G04030	0	5	9	5	3	3
AT1G04040	25	38	30	11	1	24
AT1G04050	0	0	3	0	9	1
AT1G04070	1	5	21	34	18	16
AT1G04080	78	116	167	129	54	174
AT1G04100	2	1	13	14	10	7
AT1G04110	0	2	0	2	0	1
AT1G04120	99	79	168	185	138	299
AT1G04130	8	13	33	21	11	15
AT1G04140	75	120	137	168	60	262
AT1G04150	0	0	0	0	0	1
AT1G04160	0	6	4	11	0	14
AT1G04170	121	86	183	106	90	197
AT1G04180	0	3	0	0	1	0
AT1G04190	24	21	41	20	14	32
AT1G04200	26	24	48	39	26	57
AT1G04210	20	26	57	69	36	70
AT1G04220	141	148	356	156	92	165
AT1G04230	11	15	25	21	9	24
AT1G04240	18	30	48	14	5	14
AT1G04250	15	15	29	7	5	8
AT1G04260	68	50	114	89	71	146
AT1G04270	233	234	474	314	192	424
AT1G04280	20	28	31	29	11	49
AT1G04290	31	24	44	23	19	45
AT1G04295	0	0	0	0	1	0
AT1G04300	152	160	287	233	136	343
AT1G04310	7	9	6	5	0	12
AT1G04330	0	2	0	0	0	1
AT1G04340	85	64	125	106	85	201
AT1G04350	79	101	184	79	39	94
AT1G04360	0	2	0	5	2	8
AT1G04370	0	9	1	0	1	0
AT1G04380	0	0	0	0	0	1
AT1G04390	11	9	17	9	7	16
AT1G04400	266	202	378	214	174	428
AT1G04410	679	783	1192	813	430	1287
AT1G04420	84	78	128	46	31	83
AT1G04430	156	103	208	75	71	163
AT1G04440	116	104	184	144	99	250
AT1G04445	0	6	1	0	0	2
AT1G04457	1	0	0	0	0	0
AT1G04470	0	6	0	0	0	0
AT1G04480	78	73	138	148	97	231
AT1G04490	0	0	0	1	0	2
AT1G04500	0	0	3	6	4	6
AT1G04510	84	90	153	134	78	206
AT1G04520	0	5	7	8	2	6
AT1G04530	139	134	163	115	74	268
AT1G04540	0	0	7	0	0	2
AT1G04550	11	19	19	11	0	18
AT1G04555	29	28	26	13	9	41
AT1G04570	13	5	19	7	10	14
AT1G04580	0	4	1	5	1	7
AT1G04590	27	22	59	27	20	31
AT1G04600	0	0	0	0	0	3
AT1G04610	4	6	0	6	3	11
AT1G04620	96	99	143	75	44	138
AT1G04625	0	0	0	5	0	0
AT1G04630	35	47	53	27	11	48
AT1G04635	4	3	5	0	1	2
AT1G04640	90	93	154	68	40	109
AT1G04650	1	0	1	0	2	3
AT1G04660	0	7	10	1	2	4
AT1G04680	90	105	179	119	63	167
AT1G04690	153	134	213	165	117	330
AT1G04700	6	8	1	6	3	13
AT1G04710	10	18	40	31	14	24
AT1G04730	0	0	1	0	0	1
AT1G04750	94	114	168	138	70	216
AT1G04760	0	0	3	0	3	0
AT1G04770	58	32	68	19	24	53
AT1G04780	98	82	144	116	85	218
AT1G04790	17	26	44	37	16	42
AT1G04800	252	291	282	160	79	372
AT1G04810	86	108	151	146	70	232
AT1G04820	247	288	392	314	162	546
AT1G04830	28	30	44	33	19	57
AT1G04840	0	3	4	4	1	1
AT1G04850	125	140	217	151	82	241
AT1G04860	28	37	70	70	35	80
AT1G04870	19	18	42	40	26	49
AT1G04880	0	8	0	0	11	0
AT1G04890	0	0	1	0	0	0
AT1G04900	5	10	24	33	15	27
AT1G04910	29	30	76	99	59	105
AT1G04920	0	5	2	0	6	2
AT1G04930	10	7	11	8	8	21
AT1G04940	71	56	129	55	42	83
AT1G04945	5	1	13	10	7	10
AT1G04950	26	29	40	21	12	38
AT1G04960	59	49	94	58	43	100
AT1G04970	36	46	88	62	31	70
AT1G04980	57	78	144	229	110	261
AT1G04985	47	63	118	104	50	118
AT1G04990	101	115	245	211	117	241
AT1G05000	10	5	16	19	18	31
AT1G05010	209	233	424	1029	572	1411
AT1G05020	1	6	8	9	3	6
AT1G05030	43	35	71	41	31	69
AT1G05055	22	25	37	28	15	46
AT1G05060	28	28	63	39	24	47
AT1G05065	0	0	6	5	4	1
AT1G05070	44	37	79	28	20	42
AT1G05080	0	0	0	0	1	1
AT1G05090	0	3	1	0	0	0
AT1G05100	9	10	12	10	6	18
AT1G05120	24	22	41	34	23	53
AT1G05135	1874	2672	1970	3013	998	6995
AT1G05136	0	0	0	0	0	1
AT1G05140	201	178	413	157	106	206
AT1G05150	26	27	24	14	8	38
AT1G05160	7	12	12	7	1	10
AT1G05170	8	12	29	28	14	24
AT1G05180	38	68	70	69	20	107
AT1G05190	827	915	1649	670	374	934
AT1G05200	55	70	98	63	30	98
AT1G05205	26	26	47	23	14	35
AT1G05210	12	2	17	4	9	8
AT1G05220	0	2	1	0	0	0
AT1G05230	8	7	30	21	14	14
AT1G05260	0	1	0	0	3	0
AT1G05270	65	65	94	76	46	144
AT1G05280	0	0	0	0	5	0
AT1G05290	0	1	0	0	0	1
AT1G05291	0	2	0	0	0	0
AT1G05300	32	26	56	246	177	383
AT1G05310	1	5	3	0	1	4
AT1G05320	5	13	20	29	10	28
AT1G05340	83	45	114	97	103	203
AT1G05350	48	43	63	74	51	154
AT1G05360	7	10	23	22	10	18
AT1G05370	6	3	9	1	4	0
AT1G05380	18	33	42	68	24	90
AT1G05385	33	29	54	16	12	28
AT1G05400	0	19	2	0	12	2
AT1G05410	15	18	31	16	8	20
AT1G05420	12	16	17	11	4	20
AT1G05430	41	30	55	24	22	52
AT1G05440	0	5	0	0	8	0
AT1G05450	0	3	0	0	0	1
AT1G05460	26	25	47	19	13	29
AT1G05470	8	9	15	5	4	8
AT1G05490	0	4	6	4	1	1
AT1G05500	68	37	87	43	48	100
AT1G05510	0	0	1	0	0	0
AT1G05520	55	53	94	83	53	134
AT1G05530	4	0	0	0	4	1
AT1G05540	6	2	10	0	4	2
AT1G05550	0	2	4	3	2	1
AT1G05560	358	421	548	187	95	335
AT1G05570	41	37	89	66	44	82
AT1G05575	6	0	4	4	8	15
AT1G05580	0	0	0	0	0	1
AT1G05590	31	38	68	38	19	47
AT1G05600	5	0	11	3	4	1
AT1G05610	0	16	0	1	6	0
AT1G05620	10	37	56	51	13	37
AT1G05630	14	16	34	29	17	34
AT1G05640	1	4	4	1	2	6
AT1G05660	0	2	0	0	0	0
AT1G05670	10	9	12	21	15	43
AT1G05680	76	62	110	86	65	161
AT1G05690	6	10	14	7	3	8
AT1G05700	0	0	0	9	6	14
AT1G05710	20	7	30	22	27	41
AT1G05720	16	24	24	23	7	38
AT1G05730	1	1	5	0	3	4
AT1G05750	9	9	12	5	3	10
AT1G05760	0	0	1	0	2	0
AT1G05770	0	1	3	6	3	6
AT1G05780	14	10	17	8	8	20
AT1G05785	4	3	8	11	8	13
AT1G05790	26	26	23	20	12	57
AT1G05800	0	6	2	0	4	0
AT1G05805	69	61	136	117	80	163
AT1G05810	5	6	5	0	0	4
AT1G05820	2	4	0	1	1	1
AT1G05830	32	25	81	83	59	84
AT1G05835	0	4	5	5	2	1
AT1G05840	33	25	43	33	27	70
AT1G05850	688	727	1191	552	320	885
AT1G05860	7	15	23	21	8	23
AT1G05870	9	15	14	11	4	19
AT1G05880	1	1	3	0	4	4
AT1G05890	37	49	86	83	40	103
AT1G05894	0	0	0	0	8	0
AT1G05900	18	23	54	28	15	25
AT1G05910	36	33	53	52	34	96
AT1G05920	0	6	0	3	8	0
AT1G05925	0	0	0	0	2	0
AT1G05930	0	1	0	0	0	0
AT1G05940	87	74	119	60	44	122
AT1G05950	0	0	4	4	3	1
AT1G05960	58	52	116	68	45	91
AT1G05970	3	6	6	3	1	1
AT1G05990	0	18	0	0	27	0
AT1G06000	70	121	225	254	104	244
AT1G06010	17	34	33	24	5	35
AT1G06020	0	0	0	3	2	4
AT1G06030	0	0	2	0	0	0
AT1G06040	682	636	1182	583	382	932
AT1G06050	4	8	9	9	1	12
AT1G06060	51	61	73	45	22	86
AT1G06070	15	16	31	30	18	40
AT1G06080	0	2	0	2	5	0
AT1G06090	0	0	1	4	0	0
AT1G06100	0	7	0	0	11	0
AT1G06110	18	25	38	26	11	34
AT1G06130	22	32	50	39	17	48
AT1G06135	0	4	0	3	13	0
AT1G06140	0	0	4	3	3	2
AT1G06148	0	5	21	21	13	7
AT1G06160	13	11	37	61	40	57
AT1G06170	0	0	0	0	0	1
AT1G06180	4	3	1	8	6	16
AT1G06190	144	185	289	162	78	227
AT1G06200	88	106	133	82	41	149
AT1G06210	36	37	68	69	41	100
AT1G06220	41	46	74	70	39	107
AT1G06225	0	2	0	0	3	0
AT1G06230	128	141	165	160	86	331
AT1G06240	68	46	121	41	36	63
AT1G06250	0	4	3	0	2	1
AT1G06260	0	0	1	0	0	0
AT1G06265	3	4	1	2	1	4
AT1G06270	1	9	15	17	8	19
AT1G06280	0	7	0	1	16	0
AT1G06290	63	64	119	114	69	167
AT1G06320	0	2	0	0	0	0
AT1G06340	0	5	0	8	2	1
AT1G06350	0	0	0	0	0	1
AT1G06360	2	0	5	1	1	1
AT1G06370	1	4	4	0	2	5
AT1G06380	11	12	14	13	7	25
AT1G06390	85	84	131	106	67	189
AT1G06400	68	79	139	101	54	136
AT1G06410	366	394	513	325	183	632
AT1G06420	2	0	0	1	2	1
AT1G06430	201	167	250	93	72	212
AT1G06440	0	2	5	5	3	4
AT1G06450	15	11	29	20	16	26
AT1G06460	1291	1216	2716	1321	847	1711
AT1G06470	47	41	94	65	44	86
AT1G06475	5	11	16	8	2	6
AT1G06490	10	9	7	3	3	14
AT1G06500	17	26	29	15	5	24
AT1G06510	13	19	42	28	14	25
AT1G06515	18	17	41	26	17	32
AT1G06520	10	17	16	42	15	70
AT1G06530	240	406	391	353	106	594
AT1G06550	8	28	30	41	7	45
AT1G06560	8	14	16	9	3	12
AT1G06570	84	61	103	88	76	203
AT1G06580	3	6	5	5	1	6
AT1G06590	6	1	7	5	6	12
AT1G06620	52	48	73	364	243	719
AT1G06630	10	14	24	17	9	21
AT1G06640	126	104	195	124	91	222
AT1G06645	14	20	40	32	15	33
AT1G06650	209	153	376	272	215	415
AT1G06660	0	0	3	0	3	0
AT1G06670	33	33	76	46	28	54
AT1G06680	6833	7474	11442	4357	2432	7215
AT1G06690	80	70	121	44	32	81
AT1G06700	56	70	125	83	43	105
AT1G06710	0	7	9	0	1	9
AT1G06720	35	36	59	44	27	73
AT1G06730	33	36	43	20	11	42
AT1G06740	2	0	5	3	4	3
AT1G06750	2	0	0	1	1	1
AT1G06760	355	311	460	248	178	535
AT1G06770	6	6	10	6	5	11
AT1G06780	26	23	27	36	27	91
AT1G06790	8	5	16	8	7	9
AT1G06800	0	13	11	34	4	37
AT1G06820	27	35	68	58	30	67
AT1G06830	9	8	17	12	10	19
AT1G06840	8	5	24	32	25	28
AT1G06850	25	39	42	56	21	90
AT1G06870	36	24	62	37	31	57
AT1G06890	100	92	177	147	97	229
AT1G06900	46	43	86	64	42	93
AT1G06910	0	5	9	10	3	7
AT1G06920	0	0	0	4	0	0
AT1G06923	0	11	0	2	3	0
AT1G06930	0	21	1	0	2	2
AT1G06950	89	126	183	151	66	211
AT1G06960	19	19	25	15	10	31
AT1G06970	0	0	0	0	2	1
AT1G06980	1	5	10	11	5	1
AT1G07000	73	41	85	77	85	197
AT1G07010	68	99	114	41	15	67
AT1G07020	28	24	56	61	42	83
AT1G07030	89	60	146	91	79	156
AT1G07040	202	169	371	246	176	366
AT1G07050	192	251	410	229	110	303
AT1G07060	0	0	0	0	0	1
AT1G07070	17	9	27	10	12	18
AT1G07080	277	272	593	338	210	431
AT1G07090	8	25	40	53	16	44
AT1G07110	204	237	394	147	78	212
AT1G07119	0	0	5	0	2	8
AT1G07120	0	3	0	4	0	5
AT1G07130	18	15	34	42	29	58
AT1G07135	293	166	247	188	253	741
AT1G07140	358	357	656	582	358	879
AT1G07150	0	9	8	18	3	20
AT1G07160	0	2	5	63	40	81
AT1G07170	9	12	22	12	6	12
AT1G07175	0	2	1	9	5	16
AT1G07180	56	46	69	24	18	53
AT1G07200	21	7	31	13	18	26
AT1G07210	54	58	81	62	35	113
AT1G07220	47	37	100	80	59	101
AT1G07230	77	50	113	147	132	279
AT1G07240	51	45	96	79	54	115
AT1G07250	167	187	282	152	83	249
AT1G07260	2	1	3	5	1	7
AT1G07280	283	303	584	300	173	402
AT1G07290	0	0	3	0	0	2
AT1G07300	0	0	5	6	5	4
AT1G07310	392	423	595	382	215	692
AT1G07320	632	724	1551	598	329	673
AT1G07340	0	2	0	1	1	0
AT1G07350	39	44	53	50	27	98
AT1G07360	166	171	229	158	94	315
AT1G07370	0	0	4	4	3	2
AT1G07380	8	4	13	10	10	17
AT1G07390	22	22	27	21	13	46
AT1G07400	34	28	32	41	32	110
AT1G07410	2	1	1	3	2	4
AT1G07420	113	149	243	160	76	212
AT1G07430	34	37	57	35	20	57
AT1G07440	36	66	78	27	8	36
AT1G07450	0	1	0	0	12	0
AT1G07470	19	30	35	24	8	36
AT1G07473	0	0	1	0	8	0
AT1G07476	0	3	1	0	0	0
AT1G07480	30	21	19	8	10	39
AT1G07485	0	3	0	0	1	0
AT1G07500	0	5	0	0	2	1
AT1G07510	42	55	58	44	18	82
AT1G07520	16	10	22	13	13	26
AT1G07530	65	62	114	85	55	134
AT1G07540	0	2	0	0	0	0
AT1G07560	0	2	4	4	3	1
AT1G07570	13	16	28	34	18	45
AT1G07590	2281	2042	3358	1761	1214	3339
AT1G07610	53	43	46	31	26	95
AT1G07615	8	12	14	10	4	15
AT1G07620	7	0	13	22	24	29
AT1G07630	32	42	74	102	50	126
AT1G07640	167	141	404	362	248	393
AT1G07645	0	0	0	0	0	1
AT1G07650	68	86	150	119	59	152
AT1G07660	11	18	26	19	7	22
AT1G07670	47	52	84	126	69	194
AT1G07700	69	68	137	109	68	150
AT1G07705	38	31	54	56	42	108
AT1G07710	0	0	3	0	0	0
AT1G07720	125	174	241	76	32	109
AT1G07725	0	0	1	0	0	0
AT1G07728	0	3	1	2	0	0
AT1G07740	4	3	8	5	4	5
AT1G07745	6	6	17	12	9	12
AT1G07750	25	26	29	15	8	33
AT1G07770	123	133	245	168	96	234
AT1G07780	1	4	4	3	0	2
AT1G07790	6	11	24	13	6	9
AT1G07795	0	2	0	0	0	1
AT1G07800	0	5	2	0	1	0
AT1G07810	20	6	34	23	28	36
AT1G07820	49	36	49	31	29	88
AT1G07830	6	5	13	17	11	21
AT1G07840	16	31	53	49	18	47
AT1G07850	0	1	0	4	2	1
AT1G07860	0	0	1	0	2	0
AT1G07870	12	20	34	46	20	50
AT1G07880	0	2	4	0	0	5
AT1G07890	1153	1018	2005	2052	1408	3266
AT1G07900	0	5	8	9	3	8
AT1G07901	3	6	8	4	0	4
AT1G07910	30	9	38	12	21	31
AT1G07920	5	4	25	29	20	17
AT1G07930	71	85	124	88	45	139
AT1G07940	73	81	110	76	42	138
AT1G07950	9	12	19	19	9	26
AT1G07960	28	18	54	53	44	73
AT1G07970	10	12	19	25	13	37
AT1G07980	26	21	34	30	23	61
AT1G07985	0	7	0	0	0	0
AT1G07990	127	143	164	110	58	227
AT1G08000	33	44	50	39	16	68
AT1G08005	0	0	1	0	0	1
AT1G08010	35	44	60	44	21	70
AT1G08030	38	35	83	55	37	68
AT1G08032	0	0	0	0	2	0
AT1G08035	0	1	0	0	0	0
AT1G08040	51	40	84	32	25	54
AT1G08050	78	71	114	194	130	368
AT1G08060	26	22	36	25	19	50
AT1G08065	0	1	0	0	3	0
AT1G08070	0	3	4	4	2	5
AT1G08080	0	13	1	0	18	0
AT1G08090	12	14	19	78	40	133
AT1G08100	0	0	0	0	2	0
AT1G08105	0	1	1	3	2	0
AT1G08110	78	75	152	62	40	87
AT1G08115	9	13	9	5	1	10
AT1G08125	30	44	52	49	19	77
AT1G08130	14	13	36	37	25	40
AT1G08135	0	22	0	0	21	0
AT1G08150	0	1	1	3	2	0
AT1G08160	49	30	50	25	28	73
AT1G08165	1	1	6	0	0	0
AT1G08170	0	12	0	0	0	2
AT1G08180	6	14	28	13	4	7
AT1G08190	218	200	292	135	92	279
AT1G08200	208	207	408	234	144	327
AT1G08210	7	12	10	9	2	16
AT1G08220	1	6	24	26	15	17
AT1G08250	28	19	25	20	20	64
AT1G08260	0	3	1	4	1	1
AT1G08270	0	0	5	1	4	0
AT1G08280	3	5	8	5	3	4
AT1G08290	8	19	9	13	1	25
AT1G08300	4	0	6	5	7	8
AT1G08310	0	0	0	0	0	1
AT1G08315	52	27	72	69	73	141
AT1G08320	0	0	0	0	6	4
